,name,cuisine,price,rank,neighborhood,reviews,avg
5735,M & P Biancamano,Deli,1.0,54, Hoboken,16.0,5.0
5736,Nightingale 9,Vietnamese,2.0,949, Brooklyn,14.0,4.5
5737,Cafe Duke,Cafe,1.0,"4,992", Manhattan,16.0,4.0
5738,Caledonia,Pub,,"4,993", Manhattan,8.0,4.5
5739,Luu's Baguette,Asian,1.0,"4,994", Manhattan,19.0,4.0
5740,Jolie,French,2.0,"1,070", Brooklyn,18.0,4.0
5741,The Burgary,,,"4,995", Manhattan,12.0,4.0
5742,Cafe Cello,Cafe,1.0,"4,996", Manhattan,17.0,4.0
5743,Cantina Rooftop,Mexican,2.0,"4,997", Manhattan,109.0,3.5
5744,The Irish Punt,Bar,2.0,"4,998", Manhattan,25.0,4.0
5745,Da Capo Aperitivo e Caffe,,,"4,999", Manhattan,11.0,4.5
5746,J Casa NYC,Latin,2.0,"5,000", Manhattan,6.0,4.5
5747,Vamos,Mexican,2.0,"5,001", Manhattan,28.0,3.5
5748,The Loop,Japanese,2.0,"5,002", Manhattan,17.0,4.0
5749,Cedar Local,,,"5,003", Manhattan,8.0,4.5
5750,B&W Deli and Pizzeria,American,1.0,"5,004", Manhattan,5.0,5.0
5751,El Viejo Yayo Restaurant,Latin,2.0,699, Brooklyn,57.0,3.5
5752,Pier Sixty,,,"5,005", Manhattan,7.0,4.5
5753,Gazala’s,Israeli,,"5,006", Manhattan,7.0,4.5
5754,Lavender Lake,Bar,2.0,780, Brooklyn,16.0,4.5
5755,Burger King,,,"5,007", Manhattan,47.0,3.5
5756,Due West,,,"5,008", Manhattan,8.0,4.5
5757,Real Thai Cuisine,Thai,,"5,009", Manhattan,16.0,4.0
5758,Nanatori Japanese Restaurant,Japanese,2.0,"1,078", Brooklyn,32.0,4.0
5759,Luke's Lobster Union Square,Seafood,2.0,"5,010", Manhattan,9.0,4.0
5760,Choza Taqueria,,,"5,011", Manhattan,6.0,5.0
5761,AOC East,French,2.0,"5,012", Manhattan,19.0,3.5
5762,El Kallejon,Latin,2.0,"5,013", Manhattan,12.0,4.5
5763,Sandwicherie of New York,,,"5,014", Manhattan,7.0,4.5
5764,The Roost,Cafe,2.0,"5,015", Manhattan,9.0,4.5
5765,Fatbird Southern Kitchen and Bar,American,2.0,"5,016", Manhattan,31.0,3.5
5766,Mizu,,,"1,050", Brooklyn,14.0,4.0
5767,El Original,Mexican,2.0,"5,017", Manhattan,89.0,3.5
5768,To Two Boonsik Korean Food,,,"5,018", Manhattan,6.0,4.5
5769,Ssam,Asian,2.0,"1,081", Brooklyn,11.0,4.0
5770,Gotham Bistro,Bar,2.0,"5,019", Manhattan,26.0,4.0
5771,Sushi on Jones,,,"5,020", Manhattan,7.0,4.5
5772,Gramercy Kitchen,Diner,2.0,"5,021", Manhattan,10.0,4.0
5773,Subway,,,"5,022", Manhattan,27.0,3.5
5774,James Restaurant,American,2.0,493, Brooklyn,40.0,4.0
5775,The Wing Bar,,,"1,089", Brooklyn,9.0,4.5
5776,Blue Ribbon Fried Chicken - Hell's Kitchen,American,1.0,"5,023", Manhattan,9.0,4.0
5777,Gebhard's Beer Culture,American,2.0,"5,024", Manhattan,12.0,4.0
5778,Bar Odeon,,,"5,025", Manhattan,13.0,4.0
5779,Indian Table,,,"1,091", Brooklyn,7.0,4.5
5780,Mimi's Hummus,Lebanese,1.0,"5,026", Manhattan,9.0,4.5
5781,Je Bon Noodle House,Asian,2.0,"5,027", Manhattan,15.0,4.0
5782,The Woodstock,Bar,2.0,"5,028", Manhattan,7.0,4.5
5783,Sabi Sushi,Japanese,2.0,"5,029", Manhattan,18.0,3.5
5784,Milanes Spanish Restaurant,Spanish,1.0,"5,030", Manhattan,10.0,4.5
5785,The Copper Still Chelsea,American,,"5,031", Manhattan,5.0,5.0
5786,The GoGo Grill,,,"5,032", Manhattan,9.0,4.5
5787,Miso Japanese Fusion,Japanese,2.0,"1,093", Brooklyn,22.0,4.0
5788,Farina,Italian,2.0,"5,033", Manhattan,8.0,4.5
5789,Jacques 1534,French,2.0,"5,034", Manhattan,36.0,3.5
5790,Broadway Cafe,,,"5,035", Manhattan,17.0,4.0
5791,Bisousciao,,,"5,036", Manhattan,8.0,4.5
